Date,Message,Motor Index,12:00:00 AM,Motor Index,12:00:00 AM,05:30:00 AM,06:00:00 AM,06:30:00 AM,07:00:00 AM,07:30:00 AM,08:00:00 AM,05:30:00 PM,06:00:00 PM,06:30:00 PM,07:00:00 PM,07:30:00 PM,08:00:00 PM,Motor Index,12:00:00 AM,05:30:00 AM,06:00:00 AM,06:30:00 AM,07:00:00 AM,07:30:00 AM,08:00:00 AM,05:30:00 PM,06:00:00 PM,06:30:00 PM,07:00:00 PM,07:30:00 PM,08:00:00 PM
01/23/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
01/24/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
01/25/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
01/26/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
01/27/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
01/28/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
01/29/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
01/30/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
01/31/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/01/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/02/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/03/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/04/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/05/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/06/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/07/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/08/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/09/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/10/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/11/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/12/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/13/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/14/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/15/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/16/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/17/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/18/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/19/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/20/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/21/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
